RecordType,UNIQUE_ID,Transaction Type,Transaction Currency,Transaction Amount,Billing Currency,Billing Amount,Settlement Date,Settlement Amount,Settlement Currency,System Date,Account Number,Account Id,VPAN,Masked PAN,Date Transmit,Time Transmit,Date Local,Time Local,Message Class,Message Function,Transaction Source,Function Code,Transaction Code,Acquirer Financial Entity,Transaction Reference Number,ARN,Token Requestor ID,Authorization Transaction Log ID,Item Category,RRN,STAN,Description,Card Acceptor Location,MCC,Card Acceptor ID,Terminal Code,Acquirer ID,Acquirer Country,Card Data Input Capability,Cardholder Authentication Availability,Card Capture Capability,Operating Environment,Cardholder Present Indicator,Card Present Indicator,Card Data Input Mode,Cardholder Authentication Method,Cardholder authorization Entity,Pin Capture Capability,Reference,Original Transaction Id,Original Transaction Reference,Balance Before,Surplus Before,Balance After,Surplus After,Credit Debit,Application Sequence
R,146916,1,356,915.48,682,915.48,20250209,915.48,682,20250209,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250209,114130,20250209,114130,2,2,0,00200,1,,,,,145291,0131,1404995378136916,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,143083,2,356,137.32,682,137.32,20250209,137.32,682,20250209,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250209,114130,20250209,114130,2,2,0,00200,1,,,,,145291,0131,1404995378233083,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,146916,0,,0,,0,0,,0
R,142208,1002,356,13.00,682,13.00,20250209,13.00,682,20250209,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250209,114130,20250209,114130,2,2,0,00200,1,,,,,00000000000000000000,0131,1404995378282208,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,143083,0,,0,,0,0,,0
R,144333,2,356,13.00,682,13.00,20250209,13.00,682,20250209,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250209,114130,20250209,114130,2,2,0,00200,1,,,,,145291,0131,1404995378544333,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,146916,0,,0,,0,0,,0
R,148541,1002,356,27.46,682,27.46,20250209,27.46,682,20250209,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250209,114130,20250209,114130,2,2,0,00200,1,,,,,00000000000000000000,0131,1404995378628541,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,144333,0,,0,,0,0,,0
R,143750,1,356,2436.58,682,2436.58,20250209,2436.58,682,20250209,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250209,105757,20250209,105757,2,2,0,00200,1,,,,,143916,0131,1404995379033750,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,149041,2,356,365.49,682,365.49,20250209,365.49,682,20250209,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250209,105757,20250209,105757,2,2,0,00200,1,,,,,143916,0131,1404995379079041,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,143750,0,,0,,0,0,,0
R,140708,1002,356,7.00,682,7.00,20250209,7.00,682,20250209,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250209,105757,20250209,105757,2,2,0,00200,1,,,,,00000000000000000000,0131,1404995379120708,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,149041,0,,0,,0,0,,0
R,145375,2,356,7.00,682,7.00,20250209,7.00,682,20250209,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250209,105757,20250209,105757,2,2,0,00200,1,,,,,143916,0131,1404995379605375,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,143750,0,,0,,0,0,,0
R,145916,1002,356,73.10,682,73.10,20250209,73.10,682,20250209,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250209,105757,20250209,105757,2,2,0,00200,1,,,,,00000000000000000000,0131,1404995379675916,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,145375,0,,0,,0,0,,0
